Дата заключения,Дата расчетов,Время заключения,Наименование,Код,Валюта,Вид,Количество,Цена,Сумма,НКД,Комиссия Брокера,Комиссия Биржи,Номер сделки,Комментарий,Статус
29.09.2021,01.10.2021,20:25:58,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449584446,,И
30.09.2021,04.10.2021,10:59:34,SBSPETF,SBSP,RUB,Покупка,1,1696.2,1696.20,0.00,0.00,0.16,4453542268,,О
29.09.2021,01.10.2021,20:12:25,FXGDETF,FXGD,RUB,Покупка,1,847,847.00,0.00,0.00,0.08,4449577457,,И
29.09.2021,01.10.2021,20:19:21,FXDMETF,FXDM,RUB,Покупка,7,75.4,527.80,0.00,0.00,0.05,4449581409,,И
29.09.2021,01.10.2021,20:22:35,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449582892,,И
29.09.2021,01.10.2021,20:25:50,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584383,,И
29.09.2021,01.10.2021,20:25:54,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584414,,И
29.09.2021,01.10.2021,20:25:56,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584428,,И
29.09.2021,01.10.2021,20:25:58,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449584446,,И
30.09.2021,04.10.2021,10:59:34,SBSPETF,SBSP,RUB,Покупка,1,1696.2,1696.20,0.00,0.00,0.16,4453542268,,И
02.10.2023,03.10.2023,10:12:36,Магнитао,MGNT,RUB,Покупка,1,5513,5513.00,0.00,3.31,1.65,8521450698,,И
23.10.2023,24.10.2023,19:42:32,Сбербанк,SBER,RUB,Покупка,10,270.62,2706.20,0.00,1.62,0.82,8710027269,,И
23.10.2023,24.10.2023,19:43:08,ГАЗПРОМао,GAZP,RUB,Покупка,10,170.47,1704.70,0.00,1.02,0.51,8710027712,,И
23.10.2023,24.10.2023,19:43:58,Системаао,AFKS,RUB,Покупка,100,17.79,1779.00,0.00,1.07,0.54,8710028433,,И
26.10.2023,27.10.2023,19:26:40,26227,RU000A1007F4,RUB,Покупка,20,96.74,19348.00,405.40,11.61,1.65,8737086098,,И
08.10.2024,09.10.2024,20:30:00,26234,RU000A101QE0,RUB,Покупка,10,90.344,9034.40,103.60,5.42,1.36,11277072190,,И
